time,odometer,bat_range,bat_level,temp_in,temp_out
1534265340.0,,155,,
1534443480.0,,145,,
1534785180.0,,131,,
1534876200.0,,127,,
1535043000.0,,116,,
1535058364.49,,115.49,37,55.0
1535058778.49,,115.06,37,55.2,30.0
1535058877.2,,115.06,37,55.3,30.0
1535058901.28,,115.06,37,55.3,30.0
1535059206.69,,114.64,37,55.5,30.0
1535059498.98,,114.64,37,55.7,30.0
1535059683.54,,114.64,37,55.6,30.5
1535061254.34,1096.641292,114.64,37,56.6,31.0
1535061641.41,1096.641292,114.64,37,56.7,31.0
1535062753.9,1096.641292,114.22,37,56.9,30.5
1535064647.79,1096.641292,114.22,37,57.0,30.0
1535064763.0,1096.641292,114.22,37,56.8,30.0
1535067230.33,1096.641292,114.22,37,55.1,29.0
1535069942.42,1096.641292,113.8,37,52.4,27.0
1535072354.69,1096.641292,113.8,37,49.0,26.0
1535072479.41,1096.641292,113.8,37,49.0,25.5
1535073398.86,1096.641292,113.8,37,46.8,25.0
1535074737.08,1096.641292,113.38,37,44.5,24.0
1535075471.75,1096.641292,113.38,37,42.9,23.0
1535075518.72,1096.641292,112.95,36,42.9,23.0
1535076434.14,1096.641292,112.95,37,41.0,22.5
1535077349.28,1096.641292,112.53,36,39.2,22.0
1535079172.66,1096.641292,112.53,36,35.9,21.0
1535080097.93,1096.641292,112.11,36,34.6,20.5
1535081024.24,1096.641292,112.11,36,32.9,20.0
1535081942.55,1096.641292,112.11,36,31.7,20.0
1535082073.21,1096.641292,112.11,36,31.7,20.0
1535082966.38,1096.641292,112.11,36,30.7,19.5
1535086593.9,1096.641292,111.69,36,27.2,18.5
1535090213.04,1096.641292,111.69,36,24.4,18.0
1535093833.2,1096.641292,110.84,36,22.4,18.0
1535105091.77,1096.641292,110.42,36,20.0,18.0
1535126869.12,1096.641292,108.31,35,21.7,19.0
1535127857.17,1096.641292,108.31,35,22.4,19.5
1535134397.2,1096.641292,107.05,35,37.6,25.5
1535134861.09,1096.641292,106.62,35,39.1,26.0
1535136596.58,1096.641292,106.2,35,44.1,27.0
1535140970.51,1096.641292,105.78,34,51.9,29.5
1535143205.8196697,1096.641292,105.78,34,54.7,31.0
1535144695.416182,1096.641292,105.36,34,56.3,31.0
1535144710.1711092,1096.641292,105.36,34,56.3,31.0
1535145694.7546616,1096.641292,105.36,34,56.9,32.0
1535146541.902334,1096.641292,105.36,34,57.2,31.0
1535162288.1206124,1096.641292,105.36,34,43.4,24.5
1535171675.633877,1096.641292,104.51,34,28.7,19.5
1535179186.196848,1096.641292,104.94,34,22.7,17.0
1535212049.6765435,1096.641292,103.67,34,16.4,16.5
1535212154.571268,1096.641292,103.67,34,16.4,16.5
1535226842.6470876,1100.64603,98.61,32,27.0,24.0
1535241249.1232555,1100.64603,99.03,32,43.5,32.0
1535258031.1007261,1100.64603,99.03,32,26.9,17.5
1535266202.1683881,1100.64603,98.61,32,21.0,15.5
1535299613.2263374,1100.64603,92.28,30,19.0,17.0
1535302409.0268364,1100.64603,91.43,30,20.4,18.5
1535311471.9326162,1100.64603,91.43,30,22.0,20.5
1535312204.132305,1100.64603,91.01,30,22.5,21.5
